SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,1,8,2,Steven Adams,24
22020,2,1,2,Steven Adams,13
22020,4,10,1,Steven Adams,32
22020,12,9,0,Steven Adams,16
22020,7,5,1,Steven Adams,29
22020,10,14,3,Steven Adams,36
22020,6,12,4,Steven Adams,30
22020,10,10,3,Steven Adams,31
22020,6,16,0,Steven Adams,27
22020,0,8,3,Steven Adams,27
22020,7,5,1,Steven Adams,27
22020,8,5,1,Steven Adams,20
22020,6,8,1,Steven Adams,25
22020,12,11,3,Steven Adams,22
22020,8,10,3,Steven Adams,37
22020,4,5,1,Steven Adams,30
22020,4,7,1,Steven Adams,30
22020,8,4,1,Steven Adams,41
22020,12,7,0,Steven Adams,26
22020,4,13,3,Steven Adams,36
22020,6,10,2,Steven Adams,35
22020,4,5,2,Steven Adams,25
22020,9,8,2,Steven Adams,20
22020,10,17,2,Steven Adams,21
22020,13,12,0,Steven Adams,29
22020,15,5,1,Steven Adams,25
22020,0,5,0,Steven Adams,21
22020,5,11,0,Steven Adams,26
22020,7,6,3,Steven Adams,27
22020,7,13,4,Steven Adams,28
22020,14,15,3,Steven Adams,31
22020,2,3,0,Steven Adams,10
22020,8,7,0,Steven Adams,24
22020,13,12,2,Steven Adams,30
22020,4,4,1,Steven Adams,20
22020,3,6,2,Steven Adams,22
22020,6,4,2,Steven Adams,22
22020,4,2,1,Steven Adams,29
22020,12,12,1,Steven Adams,30
22020,11,13,4,Steven Adams,29
22020,4,2,1,Steven Adams,24
22020,4,20,2,Steven Adams,38
22020,6,18,3,Steven Adams,33
22020,5,3,2,Steven Adams,23
22020,8,16,3,Steven Adams,30
22020,6,9,1,Steven Adams,24
22020,12,15,4,Steven Adams,32
22020,4,7,1,Steven Adams,33
22020,12,6,5,Steven Adams,29
22020,13,7,2,Steven Adams,35
22020,10,11,10,Steven Adams,34
22020,10,8,0,Steven Adams,31
22020,13,10,1,Steven Adams,31
22020,14,10,2,Steven Adams,31
22020,11,8,1,Steven Adams,23
22020,8,9,3,Steven Adams,31
22020,6,9,1,Steven Adams,32
22020,8,8,3,Steven Adams,31
22020,5,8,8,Bam Adebayo,33
22020,18,12,8,Bam Adebayo,35
22020,22,7,5,Bam Adebayo,35
22020,20,6,3,Bam Adebayo,33
22020,15,4,4,Bam Adebayo,33
22020,11,9,11,Bam Adebayo,30
22020,20,7,10,Bam Adebayo,34
22020,13,10,6,Bam Adebayo,33
22020,21,11,2,Bam Adebayo,32
22020,23,6,2,Bam Adebayo,37
22020,20,6,10,Bam Adebayo,35
22020,16,3,5,Bam Adebayo,36
22020,23,8,5,Bam Adebayo,31
22020,21,15,5,Bam Adebayo,33
22020,17,4,4,Bam Adebayo,33
22020,21,6,2,Bam Adebayo,30
22020,11,10,5,Bam Adebayo,33
22020,22,3,2,Bam Adebayo,35
22020,13,7,4,Bam Adebayo,28
22020,18,10,10,Bam Adebayo,33
22020,18,11,5,Bam Adebayo,31
22020,19,8,6,Bam Adebayo,30
22020,16,8,7,Bam Adebayo,35
22020,20,17,4,Bam Adebayo,37
22020,17,8,2,Bam Adebayo,35
22020,29,9,7,Bam Adebayo,32
22020,16,8,6,Bam Adebayo,32
22020,29,10,2,Bam Adebayo,36
22020,20,8,5,Bam Adebayo,26
22020,15,12,6,Bam Adebayo,35
22020,14,9,6,Bam Adebayo,30
22020,11,2,3,Bam Adebayo,33
22020,16,13,5,Bam Adebayo,35
22020,19,11,7,Bam Adebayo,34
22020,19,12,4,Bam Adebayo,35
22020,19,13,5,Bam Adebayo,37
22020,16,10,6,Bam Adebayo,36
22020,16,12,10,Bam Adebayo,36
22020,24,5,7,Bam Adebayo,34
22020,27,12,7,Bam Adebayo,36
22020,14,10,6,Bam Adebayo,37
22020,10,13,8,Bam Adebayo,34
22020,19,6,2,Bam Adebayo,35
22020,24,11,5,Bam Adebayo,39
22020,21,4,3,Bam Adebayo,28
22020,17,11,6,Bam Adebayo,35
22020,23,9,2,Bam Adebayo,39
22020,18,13,4,Bam Adebayo,36
22020,16,13,7,Bam Adebayo,35
22020,15,7,6,Bam Adebayo,34
22020,26,10,5,Bam Adebayo,35
22020,41,5,9,Bam Adebayo,38
22020,14,8,4,Bam Adebayo,34
22020,14,13,7,Bam Adebayo,34
22020,28,11,5,Bam Adebayo,35
22020,28,7,6,Bam Adebayo,34
22020,9,16,4,Bam Adebayo,21
22020,15,8,10,Bam Adebayo,34
22020,20,8,4,Bam Adebayo,28
22020,19,11,2,Bam Adebayo,36
22020,22,8,10,Bam Adebayo,35
22020,12,6,4,Bam Adebayo,25
22020,17,4,2,Bam Adebayo,28
22020,25,11,4,Bam Adebayo,35
22020,12,3,2,LaMarcus Aldridge,23
22020,22,3,2,LaMarcus Aldridge,23
22020,8,6,2,LaMarcus Aldridge,29
22020,11,3,1,LaMarcus Aldridge,26
22020,11,9,6,LaMarcus Aldridge,30
22020,2,4,0,LaMarcus Aldridge,15
22020,21,5,0,LaMarcus Aldridge,23
